worm_index,timestamp,realSpeed,coord_x_midbody,coord_y_midbody,motion_mode,genotype,condition,rowNum,realTime,flag
143,110,NA,673.68548583984375,551.31036376953125,-1,tdc-1,off-food,1,0.1,ok
143,111,-0.19107202577590943,675.030517578125,550.60125732421875,-1,tdc-1,off-food,2,0.2,ok
143,112,-0.2702645151615143,676.8787841796875,550.2093505859375,-1,tdc-1,off-food,3,0.3,ok
143,113,-0.3297404991388321,680.19384765625,548.826416015625,-1,tdc-1,off-food,4,0.4,ok
143,114,-0.38318708270788193,684.09356689453125,547.09454345703125,-1,tdc-1,off-food,5,0.5,ok
143,115,-0.3777476561665535,686.72308349609375,545.09771728515625,-1,tdc-1,off-food,6,0.6,ok
143,116,-0.3643691039085388,690.313232421875,541.8631591796875,-1,tdc-1,off-food,7,0.7,ok
143,117,-0.2881917959153652,692.6580810546875,538.29931640625,-1,tdc-1,off-food,8,0.8,ok
143,118,-0.30823428788781165,694.48822021484375,535.2083740234375,-1,tdc-1,off-food,9,0.9,ok
143,119,-0.33880142283439635,696.1771240234375,532.55419921875,-1,tdc-1,off-food,10,1,ok
143,120,-0.36129793810844424,699.83154296875,529.8123779296875,-1,tdc-1,off-food,11,1.1,ok
143,121,-0.3015958511531353,703.71270751953125,528.80950927734375,-1,tdc-1,off-food,12,1.2,ok
143,122,-0.2855852914452553,707.1500244140625,529.54718017578125,-1,tdc-1,off-food,13,1.3,ok
143,123,-0.2896171866953373,709.72027587890625,530.31597900390625,-1,tdc-1,off-food,14,1.4,ok
143,124,-0.31959834533929826,713.4627685546875,532.013427734375,-1,tdc-1,off-food,15,1.5,ok
143,125,-0.32598563879728315,717.30279541015625,533.802490234375,-1,tdc-1,off-food,16,1.6,ok
143,126,-0.3366917452812195,721.3804931640625,535.3980712890625,-1,tdc-1,off-food,17,1.7,ok
143,127,-0.3133693628311157,725.87286376953125,535.8890380859375,-1,tdc-1,off-food,18,1.8,ok
143,128,-0.30409841895103457,730.1220703125,535.28387451171875,-1,tdc-1,off-food,19,1.9,ok
143,129,-0.2798576146066189,732.5933837890625,533.72503662109375,-1,tdc-1,off-food,20,2,ok
143,130,-0.3177626860141754,735.0875244140625,530.7655029296875,-1,tdc-1,off-food,21,2.1,ok
143,131,-0.3332301506996155,736.26019287109375,527.58984375,-1,tdc-1,off-food,22,2.2,ok
143,132,-0.3495759690999985,737.293701171875,522.865966796875,-1,tdc-1,off-food,23,2.3,ok
143,133,-0.36678770434856417,738.57806396484375,518.14599609375,-1,tdc-1,off-food,24,2.4,ok
143,134,-0.34602157920598986,739.915771484375,514.1552734375,-1,tdc-1,off-food,25,2.5,ok
143,135,-0.3260568916797638,742.03057861328125,509.5838928222656,-1,tdc-1,off-food,26,2.6,ok
143,136,-0.2831018786430359,744.28656005859375,506.9971923828125,-1,tdc-1,off-food,27,2.7,ok
143,137,-0.25747242039442064,746.74566650390625,505.4115905761719,-1,tdc-1,off-food,28,2.8,ok
143,138,-0.24602198964357375,749.87664794921875,504.478515625,-1,tdc-1,off-food,29,2.9,ok
143,139,-0.24830548721551896,752.49005126953125,504.4122619628906,-1,tdc-1,off-food,30,3,ok
143,140,-0.26872524932026864,755.2716064453125,504.6711730957031,-1,tdc-1,off-food,31,3.1,ok
143,141,NA,758.928955078125,505.1862487792969,-1,tdc-1,off-food,32,3.2,ok
143,142,NA,762.71710205078125,505.95458984375,-1,tdc-1,off-food,33,3.3,ok
154,150,NA,NA,NA,NaN,tdc-1,off-food,1,0.1,ok
154,151,NA,NA,NA,NaN,tdc-1,off-food,2,0.2,ok
154,152,NA,NA,NA,NaN,tdc-1,off-food,3,0.3,ok
154,153,NA,NA,NA,NaN,tdc-1,off-food,4,0.4,ok
154,154,NA,NA,NA,NaN,tdc-1,off-food,5,0.5,ok
154,155,NA,NA,NA,NaN,tdc-1,off-food,6,0.6,ok
154,156,NA,NA,NA,NaN,tdc-1,off-food,7,0.7,ok
154,157,NA,NA,NA,NaN,tdc-1,off-food,8,0.8,ok
154,158,NA,NA,NA,NaN,tdc-1,off-food,9,0.9,ok
154,159,NA,NA,NA,NaN,tdc-1,off-food,10,1,ok
154,160,NA,NA,NA,1,tdc-1,off-food,11,1.1,ok
154,161,NA,NA,NA,1,tdc-1,off-food,12,1.2,ok
154,162,NA,NA,NA,1,tdc-1,off-food,13,1.3,ok
154,163,NA,NA,NA,1,tdc-1,off-food,14,1.4,ok
154,164,NA,NA,NA,1,tdc-1,off-food,15,1.5,ok
154,165,0.13364226727187634,761.2218017578125,513.51715087890625,1,tdc-1,off-food,16,1.6,ok
154,166,0.22054094097018243,764.38323974609375,512.98077392578125,1,tdc-1,off-food,17,1.7,ok
154,167,0.1923820424079895,766.83551025390625,512.5130615234375,1,tdc-1,off-food,18,1.8,ok
154,168,0.2182902197241783,770.30877685546875,511.54925537109375,1,tdc-1,off-food,19,1.9,ok
154,169,0.2016596859097481,772.009033203125,511.0018310546875,1,tdc-1,off-food,20,2,ok
154,170,0.2349895079433918,774.71380615234375,509.6527404785156,1,tdc-1,off-food,21,2.1,ok
154,171,0.21363128060102463,776.5457763671875,508.53436279296875,1,tdc-1,off-food,22,2.2,ok
154,172,0.20705458402633667,778.37567138671875,507.02166748046875,1,tdc-1,off-food,23,2.3,ok
154,173,0.22043733742833138,779.69732666015625,505.5559997558594,1,tdc-1,off-food,24,2.4,ok
154,174,0.23023943915963171,780.68511962890625,503.9339294433594,1,tdc-1,off-food,25,2.5,ok
154,175,0.2576279737651348,782.01336669921875,501.3013610839844,1,tdc-1,off-food,26,2.6,ok
154,176,0.27116531816124917,783.0537109375,499.024169921875,1,tdc-1,off-food,27,2.7,ok
154,177,0.3135945219397545,783.7611083984375,495.6307373046875,1,tdc-1,off-food,28,2.8,ok
154,178,0.30753240072727206,785.07635498046875,492.33599853515625,1,tdc-1,off-food,29,2.9,ok
154,179,0.3304253041148186,786.59747314453125,488.8646240234375,1,tdc-1,off-food,30,3,ok
154,180,0.30862889930605886,788.0064697265625,486.69696044921875,1,tdc-1,off-food,31,3.1,ok
154,181,0.31696779996156693,790.45635986328125,483.5640563964844,1,tdc-1,off-food,32,3.2,ok
154,182,0.25553054800629615,792.75384521484375,481.5321960449219,1,tdc-1,off-food,33,3.3,ok
154,183,0.2658270892202854,795.03753662109375,479.47418212890625,1,tdc-1,off-food,34,3.4,ok
154,184,0.2462550513446331,796.75677490234375,478.12322998046875,1,tdc-1,off-food,35,3.5,ok
154,185,0.27531138458848,799.52886962890625,475.889404296875,1,tdc-1,off-food,36,3.6,ok
154,186,0.29416247284412383,801.1055908203125,474.2565002441406,1,tdc-1,off-food,37,3.7,ok
154,187,0.32609538674354555,802.903564453125,471.9426574707031,1,tdc-1,off-food,38,3.8,ok
154,188,0.33901410806179044,804.56219482421875,468.5755920410156,1,tdc-1,off-food,39,3.9,ok
154,189,0.3238355044126511,805.585693359375,465.5318298339844,1,tdc-1,off-food,40,4,ok
154,190,0.3084196194112301,806.20025634765625,462.0180969238281,1,tdc-1,off-food,41,4.1,ok
154,191,0.273263669282198,806.713623046875,458.3829040527344,1,tdc-1,off-food,42,4.2,ok
154,192,0.29842779994010926,807.09796142578125,455.284912109375,1,tdc-1,off-food,43,4.3,ok
154,193,0.289023492872715,807.54058837890625,452.89129638671875,1,tdc-1,off-food,44,4.4,ok
154,194,0.2890074100792408,808.96136474609375,449.0945739746094,1,tdc-1,off-food,45,4.5,ok
154,195,0.2660133831202984,810.239013671875,447.0118408203125,1,tdc-1,off-food,46,4.6,ok
154,196,0.27671449264883996,811.42974853515625,445.13653564453125,1,tdc-1,off-food,47,4.7,ok
154,197,0.2758937149643898,813.5701904296875,442.4289245605469,1,tdc-1,off-food,48,4.8,ok
154,198,0.2712420306801796,815.6033935546875,440.2896423339844,1,tdc-1,off-food,49,4.9,ok
154,199,0.2571414923965931,817.3433837890625,438.5991516113281,1,tdc-1,off-food,50,5,ok
154,200,0.30506397879123687,819.67926025390625,436.0909729003906,1,tdc-1,off-food,51,5.1,ok
154,201,0.3467190061211586,821.17510986328125,434.2210693359375,1,tdc-1,off-food,52,5.2,ok
154,202,0.3583864898085594,823.2030029296875,430.9853820800781,1,tdc-1,off-food,53,5.3,ok
154,203,0.34674462014436724,824.6558837890625,426.79156494140625,1,tdc-1,off-food,54,5.4,ok
154,204,0.28442720076441763,825.287353515625,424.0543518066406,1,tdc-1,off-food,55,5.5,ok
154,205,0.30853939828276633,825.9815673828125,420.42156982421875,1,tdc-1,off-food,56,5.6,ok
154,206,0.2970001327693462,826.50494384765625,417.6881103515625,1,tdc-1,off-food,57,5.7,ok
154,207,0.3106890699863434,827.42840576171875,414.17236328125,1,tdc-1,off-food,58,5.8,ok
154,208,0.2785649207532406,828.47540283203125,411.26556396484375,1,tdc-1,off-food,59,5.9,ok
154,209,0.26911084771156313,829.74822998046875,408.67572021484375,1,tdc-1,off-food,60,6,ok
154,210,0.27258691495656967,831.13525390625,406.6513366699219,1,tdc-1,off-food,61,6.1,ok
154,211,NA,832.9598388671875,404.519287109375,1,tdc-1,off-food,62,6.2,ok
154,212,NA,835.2037353515625,402.1340637207031,1,tdc-1,off-food,63,6.3,ok
633,502,NA,416.9715576171875,810.4903564453125,-1,tdc-1,off-food,1,0.1,ok
633,503,-0.26248123893141745,419.5560302734375,811.719970703125,-1,tdc-1,off-food,2,0.2,ok
633,504,-0.32981267738342285,422.2424011230469,813.0753173828125,-1,tdc-1,off-food,3,0.3,ok
633,505,-0.38113577699661255,424.978759765625,813.715576171875,-1,tdc-1,off-food,4,0.4,ok
633,506,-0.38605181872844696,429.6050720214844,813.50457763671875,-1,tdc-1,off-food,5,0.5,ok
633,507,-0.35281791973114013,433.9810791015625,812.407958984375,-1,tdc-1,off-food,6,0.6,ok
633,508,-0.33449723052978514,437.1939697265625,811.3770751953125,-1,tdc-1,off-food,7,0.7,ok
633,509,-0.3932081991434097,441.03436279296875,810.00146484375,-1,tdc-1,off-food,8,0.8,ok
633,510,-0.3678391007781029,444.6487121582031,809.5546875,-1,tdc-1,off-food,9,0.9,ok
633,511,-0.3252527149915695,449.30859375,810.31573486328125,-1,tdc-1,off-food,10,1,ok
633,512,-0.2773848064541817,452.11480712890625,811.62310791015625,-1,tdc-1,off-food,11,1.1,ok
633,513,-0.304055833786726,454.356201171875,813.2647705078125,-1,tdc-1,off-food,12,1.2,ok
633,514,-0.3664787444472313,457.6258544921875,815.70440673828125,-1,tdc-1,off-food,13,1.3,ok
633,515,-0.3560447684526443,461.5264892578125,817.9490966796875,-1,tdc-1,off-food,14,1.4,ok
633,516,-0.34888309496641157,466.3768005371094,819.34857177734375,-1,tdc-1,off-food,15,1.5,ok
633,517,-0.3281304801106453,469.6654968261719,818.8555908203125,-1,tdc-1,off-food,16,1.6,ok
633,518,-0.34044642055034635,473.0202941894531,817.19818115234375,-1,tdc-1,off-food,17,1.7,ok
633,519,-0.36729361832141877,475.9349670410156,814.082763671875,-1,tdc-1,off-food,18,1.8,ok
633,520,-0.3884073464870453,478.70758056640625,810.94805908203125,-1,tdc-1,off-food,19,1.9,ok
633,521,-0.4080169540643692,482.0259094238281,806.8946533203125,-1,tdc-1,off-food,20,2,ok
633,522,-0.3740648260116577,485.7287902832031,803.66424560546875,-1,tdc-1,off-food,21,2.1,ok
633,523,-0.32826443552970885,489.53778076171875,801.5491943359375,-1,tdc-1,off-food,22,2.2,ok
633,524,-0.2405401074886322,492.72686767578125,800.69158935546875,-1,tdc-1,off-food,23,2.3,ok
633,525,-0.21473690325021744,495.722412109375,800.8935546875,-1,tdc-1,off-food,24,2.4,ok
633,526,-0.18992453974485396,497.148193359375,801.5322265625,-1,tdc-1,off-food,25,2.5,ok
633,527,-0.13145802403986453,499.7421875,802.37762451171875,-1,tdc-1,off-food,26,2.6,ok
633,528,-0.028361867487430574,502.1873779296875,803.29876708984375,-1,tdc-1,off-food,27,2.7,ok
633,529,0.1468516818434,501.5909118652344,803.1456298828125,1,tdc-1,off-food,28,2.8,ok
633,530,0.2213210582435131,500.6365661621094,802.6815185546875,1,tdc-1,off-food,29,2.9,ok
633,531,0.272120884090662,496.3936462402344,801.845703125,1,tdc-1,off-food,30,3,ok
633,532,0.20880135306715966,492.2442321777344,801.384765625,1,tdc-1,off-food,31,3.1,ok
633,533,0.15257743392884732,488.1084289550781,802.291259765625,1,tdc-1,off-food,32,3.2,ok
633,534,0.10705745592713356,485.406005859375,804.04095458984375,1,tdc-1,off-food,33,3.3,ok
633,535,0.11968599294126034,483.97235107421875,806.23895263671875,1,tdc-1,off-food,34,3.4,ok
633,536,0.1511363675147295,483.46588134765625,808.24542236328125,1,tdc-1,off-food,35,3.5,ok
633,537,0.19399422678351402,484.1257019042969,811.2559814453125,1,tdc-1,off-food,36,3.6,ok
633,538,0.2279604388475418,485.78607177734375,813.78167724609375,1,tdc-1,off-food,37,3.7,ok
633,539,0.2751248686015606,488.29541015625,815.7572021484375,1,tdc-1,off-food,38,3.8,ok
633,540,0.3126146004796028,491.0401916503906,818.06744384765625,1,tdc-1,off-food,39,3.9,ok
633,541,0.32519030857086184,494.5190734863281,820.80316162109375,1,tdc-1,off-food,40,4,ok
633,542,0.31288847064971925,497.9313659667969,823.17529296875,1,tdc-1,off-food,41,4.1,ok
633,543,0.2761199289858341,500.81597900390625,825.49822998046875,1,tdc-1,off-food,42,4.2,ok
